BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"","enslen_mining_2009","Enslen, E.; Hill, E.; Pollock, L. & Vijay-Shanker, K.","Mining source code to automatically split identifiers for software analysis","",,,"","71--80",2009,"","46","","2009 6th {IEEE} {International} {Working} {Conference} on {Mining} {Software} {Repositories}","","","","","","","","","","","","Automated software engineering tools (e.g., program search, concern location, code reuse, quality assessment, etc.) increasingly rely on natural language information from comments and identifiers in code. The first step in analyzing words from identifiers requires splitting identifiers into their constituent words. Unlike natural languages, where space and punctuation are used to delineate words, identifiers cannot contain spaces. One common way to split identifiers is to follow programming language naming conventions. For example, Java programmers often use camel case, where words are delineated by uppercase letters or non-alphabetic characters. However, programmers also create identifiers by concatenating sequences of words together with no discernible delineation, which poses challenges to automatic identifier splitting. In this paper, we present an algorithm to automatically split identifiers into sequences of words by mining word frequencies in source code. With these word frequencies, our identifier splitter uses a scoring technique to automatically select the most appropriate partitioning for an identifier. In an evaluation of over 8000 identifiers from open source Java programs, our Samurai approach outperforms the existing state of the art techniques.","","Natural languages, data mining, Java, software maintenance, Software maintenance, program diagnostics, Frequency, automatic split identifier, Information analysis, Open source software, Programming profession, Quality assessment, software analysis, Software quality, Software tools, source code mining, word frequency mining","",""
6,"","elsner_joint_2013-2","Elsner, M.; Goldwater, S.; Feldman, N. H. & Wood, F.","A joint learning model of word segmentation, lexical acquisition, and phonetic variability","",,,"","42--54",2013,"","92","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926303216&partnerID=40&md5=1bb60c0df570ef1356d6b59e11aae487","{EMNLP} 2013 - 2013 {Conference} on {Empirical} {Methods} in {Natural} {Language} {Processing}, {Proceedings} of the {Conference}","","","","","","","","","","","cited By 19","We present a cognitive model of early lexical acquisition which jointly performs word segmentation and learns an explicit model of phonetic variation. We define the model as a Bayesian noisy channel; we sample segmentations and word forms simultaneously from the posterior, using beam sampling to control the size of the search space. Compared to a pipelined approach in which segmentation is performed first, our model is qualitatively more similar to human learners. On data with variable pronunciations, the pipelined approach learns to treat syllables or morphemes as words. In contrast, our joint model, like infant learners, tends to learn multiword collocations. We also conduct analyses of the phonetic variations that the model learns to accept and its patterns of word recognition errors, and relate these to developmental evidence. © 2013 Association for Computational Linguistics.","","⛔ No DOI found","",""
7,"","doval_comparing_2018-1","Doval, Yerai & Gómez-Rodríguez, Carlos","Comparing neural- and N-gram-based language models for word segmentation","Journal of the Association for Information Science and Technology",70,2,"","187--197",2018,"","105","https://doi.org/10.1002%2Fasi.24082","","","","","","","","","","","","","","","","",""
6,"","dit_can_2011-1","Dit, B.; Guerrouj, L.; Poshyvanyk, D. & Antoniol, G.","Can Better Identifier Splitting Techniques Help Feature Location?","",,,"June","11--20",2011,"","14","","2011 {IEEE} 19th {International} {Conference} on {Program} {Comprehension}","","","","","","","","","","","","The paper presents an exploratory study of two feature location techniques utilizing three strategies for splitting identifiers: Camel Case, Samurai and manual splitting of identifiers. The main research question that we ask in this study is if we had a perfect technique for splitting identifiers, would it still help improve accuracy of feature location techniques applied in different scenarios and settings? In order to answer this research question we investigate two feature location techniques, one based on Information Retrieval and the other one based on the combination of Information Retrieval and dynamic analysis, for locating bugs and features using various configurations of preprocessing strategies on two open-source systems, Rhino and jEdit. The results of an extensive empirical evaluation reveal that feature location techniques using Information Retrieval can benefit from better preprocessing algorithms in some cases, and that their improvement in effectiveness while using manual splitting over state-of-the-art approaches is statistically significant in those cases. However, the results for feature location technique using the combination of Information Retrieval and dynamic analysis do not show any improvement while using manual splitting, indicating that any preprocessing technique will suffice if execution data is available. Overall, our findings outline potential benefits of putting additional research efforts into defining more sophisticated source code preprocessing techniques as they can still be useful in situations where execution information cannot be easily collected.","","information retrieval, Manuals, Dictionaries, Samurai, Software, dynamic analysis, feature location, identifier splitting algorithms, Algorithm design and analysis, Accuracy, CamelCase, feature location technique, Gold, identifier splitting technique, jEdit, Large scale integration, open source system, preprocessing strategies, Rhino","",""
7,"","daiber_splitting_2015","Daiber, Joachim; Quiroz, Lautaro; Wechsler, Roger & Frank, Stella","Splitting compounds by semantic analogy","arXiv preprint arXiv:1509.04473",,,"","",2015,"","67","","","","","","","","","","","","","","","","","",""
6,"","dai_hybrid_2012-2","Dai, Y. & Ren, X.","A hybrid method to segment words","",,,"July","1131--1134",2012,"","91","","2012 {International} {Conference} on {Audio}, {Language} and {Image} {Processing}","","","","","","","","","","","","Word segmentation is the foundations of machine translation, text classification and information searching. A method is proposed which combines word segmentation based on dictionary with reverse maximum matching and word segmentation based on statistic with suffix array. The input texts are segmented using the reserve maximum matching method based on dictionary, and a two-way suffix arrays are constructed, longest common prefix are computed, candidate words are filtered out by setting the threshold, the candidate words are filtered using mutual information in order to the true words. The texts that are ambiguity are filtered using information entropy. It is showed that the accuracy of word segmentation may achieve above 97\% in the experiment.","","text analysis, natural language processing, Dictionaries, Arrays, pattern classification, Accuracy, text classification, word segmentation, language translation, machine translation, Information filters, common prefix, hybrid method, information entropy, information searching, input texts, Matched filters, Sorting, suffix array","",""
7,"","creutz_unsupervised_2007-1","Creutz, Mathias & Lagus, Krista","Unsupervised Models for Morpheme Segmentation and Morphology Learning","ACM Trans. Speech Lang. Process.",4,1,"","3:1--3:34",2007,"","145","http://doi.acm.org/10.1145/1187415.1187418","","","","","","","","","","","","","","","Efficient storage, highly inflecting and compounding languages, language independent methods, maximum a posteriori (MAP) estimation, morpheme lexicon and segmentation, unsupervised learning","",""
7,"","coster_selective_2004","Cöster, R.; Sahlgren, M. & Karlgren, J.","Selective compound splitting of swedish queries for boolean combinations of truncated terms","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",3237,,"","337--344",2004,"","59","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35048871540&partnerID=40&md5=f5b2b1834f7cad7abe59755b8a103d03","","","","","","","","","","","","cited By 3","In languages that use compound words such as Swedish, it is often neccessary to split compound words when indexing documents or queries. One of the problems is that it is difficult to find constituents that express a concept similar to that expressed by the compound. The approach taken here is to expand a query with the leading constituents of the compound words. Every query term is truncated so as to increase recall by hopefully finding other compounds with the leading constituent as prefix. This approach increases recall in a rather uncontrolled way, so we use a Boolean quorum-level search method to rank documents both according to a tf-idf factor but also to the number of matching Boolean combinations. The Boolean combinations performed relatively well, taking into consideration that the queries were very short (maximum of five search terms). Also included in this paper are the results of two other methods we are currently working on in our lab; one for re-ranking search results on the basis of stylistic analysis of documents, and one for dimensionality reduction using Random Indexing. © Springer-Verlag 2004.","","","",""
6,"","corazza_linsen_2012","Corazza, A.; Martino, S. Di & Maggio, V.","LINSEN: An efficient approach to split identifiers and expand abbreviations","",,,"September","233--242",2012,"","43","","2012 28th {IEEE} {International} {Conference} on {Software} {Maintenance} ({ICSM})","","","","","","","","","","","","Information Retrieval (IR) techniques are being exploited by an increasing number of tools supporting Software Maintenance activities. Indeed the lexical information embedded in the source code can be valuable for tasks such as concept location, clustering or recovery of traceability links. The application of such IR-based techniques relies on the consistency of the lexicon available in the different artifacts, and their effectiveness can worsen if programmers introduce abbreviations (e.g: rect) and/or do not strictly follow naming conventions such as Camel Case (e.g: UTFtoASCII). In this paper we propose an approach to automatically split identifiers in their composing words, and expand abbreviations. The solution is based on a graph model and performs in linear time with respect to the size of the dictionary, taking advantage of an approximate string matching technique. The proposed technique exploits a number of different dictionaries, referring to increasingly broader contexts, in order to achieve a disambiguation strategy based on the knowledge gathered from the most appropriate domain. The approach has been compared to other splitting and expansion techniques, using freely available oracles for the identifiers extracted from 24 C/C++ and Java open source systems. Results show an improvement in both splitting and expanding performance, in addition to a strong enhancement in the computational efficiency.","","Context, information retrieval, abbreviation expansion, approximate string matching technique, Approximation algorithms, C-C++, C++ language, camel case, concept location, Conferences, Dictionaries, dictionary, disambiguation strategy, Expansion, identifier splitting, information retrieval techniques, IR-based techniques, Java, Java open source systems, lexical information, LINSEN, oracles, pattern clustering, Program Comprehension, public domain software, Software algorithms, software maintenance, Software maintenance, software maintenance activities, Source Code Identifiers, Splitting, traceability links clustering, traceability links recovery","",""
6,"","clouet_splitting_2014-1","Clouet, Elizaveta Loginova & Daille, Béatrice","Splitting of compound terms in non-prototypical compounding languages","",,,"","",2014,"","136","","","","","","","","","","","","","","","","","",""
6,"","cho_novel_2009-2","Cho, Han-Cheol; Lee, Do-Gil; Lee, Jung-Tae; Stenetorp, Pontus; Tsujii, Jun'ichi & Rim, Hae-Chang","A Novel Word Segmentation Approach for Written Languages with Word Boundary Markers","",,,"","29--32",2009,"Stroudsburg, PA, USA","event-place: Suntec, Singapore","http://dl.acm.org/citation.cfm?id=1667583.1667594","Proceedings of the {ACL}-{IJCNLP} 2009 {Conference} {Short} {Papers}","","","{ACLShort} '09","","Association for Computational Linguistics","","","","","","","","","","",""
7,"","chen_incremental_2016-1","Chen, Ruey-Cheng","Incremental Learning for Fully Unsupervised Word Segmentation Using Penalized Likelihood and Model Selection","arxiv:1607.05822",,,"","",2016,"","114","http://arxiv.org/abs/1607.05822v2","","","","","","","","","","","","","","","⛔ No DOI found","",""
7,"","chang_multi-function_2012-2","Chang, S.-F. & Yu, L.-C.","A multi-function MSN robot for campus information seeking","Advanced Science Letters",9,,"","828--832",2012,"","93","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862902958&doi=10.1166%2fasl.2012.2643&partnerID=40&md5=4582590a11bfce38b51c8e993aca82e6","","","","","","","","","","","","cited By 0","An MSN robot is an intelligent system that can chat with users to accomplish a specific task. In this paper, we present a framework to build an MSN robot that can chat with students to provide campus information. The MSN robot has two major functions; that is it can provide two kinds of information: curriculum information and living information. The curriculum information includes a road map of all courses so that students can register courses according to their interests and future plans. The living information includes the information of restaurants, houses, transportation, and scenic spots around the campus. The MSN robot consists of three components: word segmentation and POS tagging, natural language understanding, and response text generation. The chat between the robot and students starts with an input of free-text question about campus information. Once the question is received, the natural language understanding component determines the meaning of the input question using classification methods. Finally, the output component generates a text response using a set of predefined templates. The MSN robot is implemented using the Dot MSN, an open source package that can connect the MSN Messenger service. The experimental results show that among several classification methods the support vector machine (SVM) achieves the best performance in classifying users' input questions into curriculum information or living information. © 2012 American Scientific Publishers.","","","",""
7,"","carvalho_source_2015","Carvalho, Nuno Ramos; Almeida, José João; Henriques, Pedro Rangel & Varanda, Maria João","From Source Code Identifiers to Natural Language Terms","J. Syst. Softw.",100,C,"","117--128",2015,"","31","http://dx.doi.org/10.1016/j.jss.2014.10.013","","","","","","","","","","","","","","","Identifier splitting, Natural language processing, Program comprehension","",""
6,"","brun_decomposing_2014","Brun, Caroline & Roux, Claude","Decomposing Hashtags to Improve Tweet Polarity Classification (Décomposition des Ğ hash tags ğ pour l’amélioration de la classification en polarité des Ğ tweets ğ)[in French]","",,,"","473--478",2014,"","22","","Proceedings of {TALN} 2014 ({Volume} 2: {Short} {Papers})","","","","","","","","","","","","","","","",""
6,"","brito_self-organizing_2018-1","Brito, Raphael C. & Bassani, Hansenclever F.","Self-Organizing Maps with Variable Input Length for Motif Discovery and Word Segmentation","",,,"July","",2018,"","132","https://doi.org/10.1109%2Fijcnn.2018.8489090","2018 {International} {Joint} {Conference} on {Neural} {Networks} ({IJCNN})","","","","","IEEE","","","","","","","","","","",""
7,"","bretschneider_semantic_2015","Bretschneider, C. & Zillner, S.","Semantic splitting of German medical compounds","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",9302,,"","207--215",2015,"","60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951778429&doi=10.1007%2f978-3-319-24033-6_24&partnerID=40&md5=b80f85ba2c958dce5bb50b1ba2869b01","","","","","","","","","","","","cited By 0","Compounding is widespread in highly inflectional languages with a quarter of all nouns created by composition. In our field of study, the German medical language, the amount of compounds significantly outnumbers this figure with 64\%. Thus, their correct splitting is a high-impact preprocessing step for any NLP-based application. In this work we address two challenges of medical decomposition: First, we introduce the consideration of unknown constituents in order to split compounds that were not recognized as such so far. Second, our approach builds on the corpus-based approach of Koehn and Knight and adds semantic knowledge from domain ontologies to increase the accuracy during disambiguation of the various split options. Using this first-of-a-kind semantic approach in a study on decomposition of German medical compounds, we outperform the existing approaches by far. © Springer International Publishing Switzerland 2015.","","","",""
7,"","braga_algoritmos_2008","Braga, Daniela Filipa Macedo Moreira da & others","Algoritmos de processamento da linguagem natural para sistemas de conversao texto-fala em português","",,,"","",2008,"","05","","","","","","","","","","","","","","","","","",""
6,"","bordag_unsupervised_2007","Bordag, S.","Unsupervised and knowledge-free morpheme segmentation and analysis","",1173,,"","",2007,"","78","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921960169&partnerID=40&md5=af8fc25f3c4af981dbe962e6e760ad24","{CEUR} {Workshop} {Proceedings}","","","","","","","","","","","cited By 0","This paper presents a revised version of an unsupervised and knowledge-free morpheme boundary detection algorithm based on letter successor variety (LSV) and a trie classifier [5]. Additionally a morphemic analysis based on contextual similarity provides knowledge about relatedness of the found morphs. For the boundary detection the challenge of increasing recall of found morphs while retaining a high precision is tackled by adding a compound splitter, iterating the LSV analysis and dividing the trie classifier into two distinctly applied clasifiers. The result is a significantly improved overall performance and a decreased reliance on corpus size. Further possible improvements and analyses are discussed.","","","",""
6,"","binkley_dataset_2013","Binkley, D.; Lawrie, D.; Pollock, L.; Hill, E. & Vijay-Shanker, K.","A dataset for evaluating identifier splitters","",,,"","401--404",2013,"","02","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889056852&doi=10.1109%2fMSR.2013.6624055&partnerID=40&md5=20c554dc45e942680416227bea5a5bdf","{IEEE} {International} {Working} {Conference} on {Mining} {Software} {Repositories}","","","","","","","","","","","cited By 6","Software engineering and evolution techniques have recently started to exploit the natural language information in source code. A key step in doing so is splitting identifiers into their constituent words. While simple in concept, identifier splitting raises several challenging issues, leading to a range of splitting techniques. Consequently, the research community would benefit from a dataset (i.e., a gold set) that facilitates comparative studies of identifier splitting techniques. A gold set of 2,663 split identifiers was constructed from 8,522 individual human splitting judgements and can be obtained from www.cs.loyola.edu/∼binkley/ludiso. This set's construction and observations aimed at its effective use are described. © 2013 IEEE.","","","",""
6,"","biggers_effects_2012","Biggers, L. R.","The effects of identifier retention and stop word removal on a latent Dirichlet allocation based feature location technique","",,,"","164--169",2012,"","72","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862667183&doi=10.1145%2f2184512.2184551&partnerID=40&md5=596eddec20f80762f4b8b0c7f84166e1","Proceedings of the {Annual} {Southeast} {Conference}","","","","","","","","","","","cited By 1","Feature location, an important task in program comprehension, occurs when the developer identifies the source code entity or entities responsible for implementing a functionality. Researchers have applied static analysis techniques to multiple software maintenance tasks, including feature localization. Static analysis techniques operate on a document corpus. Configuration and preprocessing decisions are required to build a suitable source code corpus for a static analysis technique. Currently, there is little guidance in the software engineering literature for making such configuration decisions. This paper focuses on two preprocessing methods for source code corpora, identifier splitting and stop word lists. We experiment on three open source Java test suites, i.e. Mylyn 1.0.1, Rhino 1.5R5, and Rhino 1.6R5. Our results indicate that identifier splitting and stop word list decisions do not significantly affect the performance of the LDA based feature location technique. © 2012 ACM.","","","",""
6,"978-3-319-10888-9","bick_constraint_2014","Bick, Eckhard","Constraint Grammar-Based Swedish-Danish Machine Translation","",,,"","216--227",2014,"Cham","19","","Advances in {Natural} {Language} {Processing}","","","","Przepiórkowski, Adam & Ogrodniczuk, Maciej","Springer International Publishing","","","","","","","This paper describes and evaluates a grammar-based machine translation system for the Swedish-Danish language pair. Source-language structural analysis, polysemy resolution, syntactic movement rules and target-language agreement are based on Constraint Grammar morphosyntactic tags and dependency trees. Lexical transfer rules exploit dependency links to access contextual information, such as syntactic argument function, semantic type and quantifiers, or to integrate verbal features, e.g. diathesis and auxiliaries. Out-of-vocabulary words are handled by derivational and compound analysis with a combined coverage of 99.3\%, as well as systematic morpho-phonemic transliterations for the remaining cases. The system achieved BLEU scores of 0.65-0.8 depending on references and outperformed both STMT and RBMT competitors by a large margin.","","","",""
1,"","baziotis_ekphrasis_nodate-2","Baziotis, Christos; Pelekis, Nikos & Doulkeridis, Christos","Ekphrasis","",,,"","",,"","108","https://github.com/cbaziotis/ekphrasis","","","","","","","","","","","","","Ekphrasis is a text processing tool, geared towards text from social networks, such as Twitter or Facebook. Ekphrasis performs tokenization, word normalization, word segmentation (for splitting hashtags) and spell correction, using word statistics from 2 big corpora (english Wikipedia, twitter - 330mil english tweets).","","","",""
6,"","araki_online_2012-2","Araki, T.; Nakamura, T.; Nagai, T.; Nagasaka, S.; Taniguchi, T. & Iwahashi, N.","Online learning of concepts and words using multimodal LDA and hierarchical Pitman-Yor Language Model","",,,"","1623--1630",2012,"","129","","2012 {IEEE}/{RSJ} {International} {Conference} on {Intelligent} {Robots} and {Systems}","","","","","","","","","","","","In this paper, we propose an online algorithm for multimodal categorization based on the autonomously acquired multimodal information and partial words given by human users. For multimodal concept formation, multimodal latent Dirichlet allocation (MLDA) using Gibbs sampling is extended to an online version. We introduce a particle filter, which significantly improve the performance of the online MLDA, to keep tracking good models among various models with different parameters. We also introduce an unsupervised word segmentation method based on hierarchical Pitman-Yor Language Model (HPYLM). Since the HPYLM requires no predefined lexicon, we can make the robot system that learns concepts and words in completely unsupervised manner. The proposed algorithms are implemented on a real robot and tested using real everyday objects to show the validity of the proposed system.","","Data models, Predictive models, natural language processing, human-robot interaction, Humans, unsupervised word segmentation, Robot sensing systems, educational robots, Gibbs sampling, Haptic interfaces, hierarchical Pitman-Yor language model, learning systems, multimodal categorization, multimodal concept formation, multimodal information, multimodal latent Dirichlet allocation, multimodal LDA, online algorithm, online learning, partial words, particle filter, predefined lexicon, robot system, Vectors","",""
7,"","altinok_demorphy_2018","Altinok, Duygu","DEMorphy, German Language Morphological Analyzer","arXiv preprint arXiv:1803.00902",,,"","",2018,"","23","","","","","","","","","","","","","https://github.com/DuyguA/DEMorphy","","","","",""
6,"978-3-540-78135-6","alfonseca_german_2008","Alfonseca, Enrique; Bilac, Slaven & Pharies, Stefan","German Decompounding in a Difficult Corpus","",,,"","128--139",2008,"Berlin, Heidelberg","35","","Computational {Linguistics} and {Intelligent} {Text} {Processing}","","","","Gelbukh, Alexander","Springer Berlin Heidelberg","","","","","","","Splitting compound words has proved to be useful in areas such as Machine Translation, Speech Recognition or Information Retrieval (IR). In the case of IR systems, they usually have to cope with noisy data, as user queries are usually written quickly and submitted without review. This work attempts at improving the current approaches for German decompounding when applied to query keywords. The results show an increase of more than 10\% in accuracy compared to other state-of-the-art methods.","","","",""
7,"","aken_statistical_2011-1","Aken, Jerry R. Van","A statistical learning algorithm for word segmentation","arxiv:1105.6162",,,"","",2011,"","96","http://arxiv.org/abs/1105.6162v2","","","","","","","","","","","","","","","⛔ No DOI found","",""
7,"","airio_word_2006","Airio, Eija","Word normalization and decompounding in mono- and bilingual IR","Information Retrieval",9,3,"June","249--271",2006,"","86","https://doi.org/10.1007/s10791-006-0884-2","","","","","","","","","","","","","The present research studies the impact of decompounding and two different word normalization methods, stemming and lemmatization, on monolingual and bilingual retrieval. The languages in the monolingual runs are English, Finnish, German and Swedish. The source language of the bilingual runs is English, and the target languages are Finnish, German and Swedish. In the monolingual runs, retrieval in a lemmatized compound index gives almost as good results as retrieval in a decompounded index, but in the bilingual runs differences are found: retrieval in a lemmatized decompounded index performs better than retrieval in a lemmatized compound index. The reason for the poorer performance of indexes without decompounding in bilingual retrieval is the difference between the source language and target languages: phrases are used in English, while compounds are used instead of phrases in Finnish, German and Swedish. No remarkable performance differences could be found between stemming and lemmatization.","","","",""
7,"","ablimit_lexicon_2014","Ablimit, Mijit; Kawahara, Tatsuya & Hamdulla, Askar","Lexicon optimization based on discriminative learning for automatic speech recognition of agglutinative language","Speech communication",60,,"","78--87",2014,"","42","","","","","","","","","","","","","","","","","",""
